example_id                                                                               | status  | run_time               |
./spec/controllers/admin_controllers/omniauth_callbacks_controller_spec.rb[1:1:1:1]      | passed  | 0.02342 seconds        |
./spec/controllers/admin_controllers/omniauth_callbacks_controller_spec.rb[1:1:1:2]      | passed  | 0.02742 seconds        |
./spec/controllers/admin_controllers/omniauth_callbacks_controller_spec.rb[1:1:1:3]      | passed  | 0.02674 seconds        |
./spec/controllers/admin_controllers/omniauth_callbacks_controller_spec.rb[1:1:2:1]      | passed  | 0.00919 seconds        |
./spec/controllers/admin_controllers/omniauth_callbacks_controller_spec.rb[1:1:2:2]      | passed  | 0.00889 seconds        |
./spec/controllers/admin_controllers/omniauth_callbacks_controller_spec.rb[1:1:2:3]      | passed  | 0.01596 seconds        |
./spec/controllers/admin_controllers/omniauth_callbacks_controller_spec.rb[1:2:1]        | passed  | 0.00408 seconds        |
./spec/controllers/admin_controllers/omniauth_callbacks_controller_spec.rb[1:2:2]        | passed  | 0.00385 seconds        |
./spec/controllers/admin_controllers/omniauth_callbacks_controller_spec.rb[1:3:1:1]      | passed  | 0.00372 seconds        |
./spec/controllers/admin_controllers/omniauth_callbacks_controller_spec.rb[1:3:1:2]      | passed  | 0.00331 seconds        |
./spec/controllers/admin_controllers/omniauth_callbacks_controller_spec.rb[1:4:1]        | passed  | 0.00397 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:1:1]                  | failed  | 0.01285 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:1:2]                  | failed  | 0.01248 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:1:3]                  | failed  | 0.01418 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:1:4]                  | failed  | 0.01133 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:1:5]                  | failed  | 0.01101 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:2:1]                  | failed  | 0.00664 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:2:2]                  | failed  | 0.0069 seconds         |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:2:3]                  | failed  | 0.00694 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:2:4]                  | failed  | 0.00685 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:2:5]                  | failed  | 0.0071 seconds         |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:3:1]                  | failed  | 0.00926 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:3:2]                  | failed  | 0.01112 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:4:1]                  | failed  | 0.34111 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:4:2]                  | failed  | 0.01656 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:5:1:1]                | failed  | 0.01176 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:5:1:2]                | failed  | 0.01103 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:5:2:1]                | failed  | 0.0112 seconds         |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:5:2:2]                | failed  | 0.01127 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:6:1:1]                | failed  | 0.00708 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:6:1:2]                | failed  | 0.00674 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:6:2:1]                | failed  | 0.00691 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:6:2:2]                | failed  | 0.00675 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:7:1:1]                | failed  | 0.00692 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:7:1:2]                | failed  | 0.00731 seconds        |
